Treatment,Tanks,volume,mass,bactbio,bactprod,nitroflux,co2flux,richness,count,biomass
Presence + Consumption cues,23,1050,19.76,7.82E-05,0.531,56.4,84.73,18,238,8.91
Damselfly absent,18,850,11.98,4.15E-05,1.714,24.3,92.99,25,402,52.16
Damselfly presence only,17,1000,11.46,7.45E-05,1.222,69.9,73.45,15,120,3.61
Damselfly presence only,25,1200,24.99,6.89E-05,0.839,30.3,90.38,24,210,6.8
Presence + Consumption cues,25,1600,18.47,9.29E-05,0.67,84.1,93.88,26,351,19.81
Damselfly presence only,18,880,11.78,6.53E-05,0.997,41.9,63.28,15,101,7.09
Presence + Consumption cues,18,700,12.04,4.24E-05,0,80,59.25,17,187,9.64
Damselfly absent,13,500,12.37,9.40E-05,0.786,232.6,79.21,18,92,4.92
Damselfly absent,16,850,15.93,4.20E-05,1.586,11.8,62.04,21,206,22.61
Damselfly absent,23,800,16.03,3.91E-05,1.96,57.5,59.89,30,432,29.58
Damselfly presence only,26,1500,12.4,5.39E-05,0.359,42.8,63.88,20,246,8.87
Presence + Consumption cues,18,980,13.29,3.62E-05,1.452,9.6,102.7,21,232,27.87
Damselfly presence only,19,700,11.38,4.38E-05,0.779,51.9,92.73,16,273,15.54
Damselfly absent,19,970,13.92,2.51E-05,1.432,45.8,39.17,23,357,41.02
Presence + Consumption cues,17,900,11.27,4.94E-05,1.532,55.5,51.17,19,246,67.07
